Protein1_STRING_ID	Protein2_STRING_ID	Combined_Score	Protein1_Name	Protein2_Name	Protein1_Ensembl_Gene_ID	Protein2_Ensembl_Gene_ID
10090.ENSMUSP00000012580	10090.ENSMUSP00000014562	999	Hps3	Hps5	ENSMUSG00000027615	ENSMUSG00000014418
10090.ENSMUSP00000012627	10090.ENSMUSP00000000767	999	Rpa3	Rpa1	ENSMUSG00000012483	ENSMUSG00000000751
10090.ENSMUSP00000013304	10090.ENSMUSP00000004396	999	Atp6v0d1	Atp6v1f	ENSMUSG00000013160	ENSMUSG00000004285
10090.ENSMUSP00000013737	10090.ENSMUSP00000002452	999	Ndufs2	Ndufa11	ENSMUSG00000013593	ENSMUSG00000002379
10090.ENSMUSP00000013737	10090.ENSMUSP00000005647	999	Ndufs2	Ndufs3	ENSMUSG00000013593	ENSMUSG00000005510
10090.ENSMUSP00000013737	10090.ENSMUSP00000014438	999	Ndufs2	Ndufa2	ENSMUSG00000013593	ENSMUSG00000014294
10090.ENSMUSP00000014438	10090.ENSMUSP00000002452	999	Ndufa2	Ndufa11	ENSMUSG00000014294	ENSMUSG00000002379
10090.ENSMUSP00000014438	10090.ENSMUSP00000005647	999	Ndufa2	Ndufs3	ENSMUSG00000014294	ENSMUSG00000005510
10090.ENSMUSP00000014438	10090.ENSMUSP00000013737	999	Ndufa2	Ndufs2	ENSMUSG00000014294	ENSMUSG00000013593
10090.ENSMUSP00000014562	10090.ENSMUSP00000012580	999	Hps5	Hps3	ENSMUSG00000014418	ENSMUSG00000027615
10090.ENSMUSP00000000756	10090.ENSMUSP00000008812	998	Rpl13	Rps18	ENSMUSG00000000740	ENSMUSG00000008668
10090.ENSMUSP00000001051	10090.ENSMUSP00000014370	998	S100a6	Cacybp	ENSMUSG00000001025	ENSMUSG00000014226
10090.ENSMUSP00000001319	10090.ENSMUSP00000006112	998	Efnb2	Ephb3	ENSMUSG00000001300	ENSMUSG00000005958
10090.ENSMUSP00000001712	10090.ENSMUSP00000004222	998	Cabin1	Hira	ENSMUSG00000020196	ENSMUSG00000022702
10090.ENSMUSP00000004036	10090.ENSMUSP00000006112	998	Efnb3	Ephb3	ENSMUSG00000003934	ENSMUSG00000005958
10090.ENSMUSP00000004222	10090.ENSMUSP00000001712	998	Hira	Cabin1	ENSMUSG00000022702	ENSMUSG00000020196
10090.ENSMUSP00000004396	10090.ENSMUSP00000006435	998	Atp6v1f	Atp6v1b2	ENSMUSG00000004285	ENSMUSG00000006273
10090.ENSMUSP00000006112	10090.ENSMUSP00000001319	998	Ephb3	Efnb2	ENSMUSG00000005958	ENSMUSG00000001300
10090.ENSMUSP00000006112	10090.ENSMUSP00000004036	998	Ephb3	Efnb3	ENSMUSG00000005958	ENSMUSG00000003934
10090.ENSMUSP00000006435	10090.ENSMUSP00000004396	998	Atp6v1b2	Atp6v1f	ENSMUSG00000006273	ENSMUSG00000004285
10090.ENSMUSP00000006435	10090.ENSMUSP00000013304	998	Atp6v1b2	Atp6v0d1	ENSMUSG00000006273	ENSMUSG00000013160
10090.ENSMUSP00000006565	10090.ENSMUSP00000014499	998	Cdc20	Anapc1	ENSMUSG00000006398	ENSMUSG00000014355
10090.ENSMUSP00000008812	10090.ENSMUSP00000000756	998	Rps18	Rpl13	ENSMUSG00000008668	ENSMUSG00000000740
10090.ENSMUSP00000013304	10090.ENSMUSP00000006435	998	Atp6v0d1	Atp6v1b2	ENSMUSG00000013160	ENSMUSG00000006273
10090.ENSMUSP00000014370	10090.ENSMUSP00000001051	998	Cacybp	S100a6	ENSMUSG00000014226	ENSMUSG00000001025
10090.ENSMUSP00000014499	10090.ENSMUSP00000006565	998	Anapc1	Cdc20	ENSMUSG00000014355	ENSMUSG00000006398
10090.ENSMUSP00000000312	10090.ENSMUSP00000006101	997	Cdh1	Itgae	ENSMUSG00000000303	ENSMUSG00000005947
