STRING_Protein_ID	Ensembl_Protein_ID	Ensembl_Gene_ID	Protein_Name
10090.ENSMUSP00000000926	ENSMUSP00000000926	ENSMUSG00000000903	Vpreb3
10090.ENSMUSP00000000939	ENSMUSP00000000939	ENSMUSG00000000915	Hip1r
10090.ENSMUSP00000000940	ENSMUSP00000000940	ENSMUSG00000000916	Nsun5
10090.ENSMUSP00000000958	ENSMUSP00000000958	ENSMUSG00000000934	Top1mt
10090.ENSMUSP00000000964	ENSMUSP00000000964	ENSMUSG00000029844	Hoxa1
10090.ENSMUSP00000000985	ENSMUSP00000000985	ENSMUSG00000000959	Oxa1l
10090.ENSMUSP00000001002	ENSMUSP00000001002	ENSMUSG00000000976	Heatr6
10090.ENSMUSP00000001008	ENSMUSP00000001008	ENSMUSG00000000982	Ccl3
10090.ENSMUSP00000001009	ENSMUSP00000001009	ENSMUSG00000000983	Wfdc18
10090.ENSMUSP00000001027	ENSMUSP00000001027	ENSMUSG00000063558	Aox1
10090.ENSMUSP00000001040	ENSMUSP00000001040	ENSMUSG00000001014	Icam4
10090.ENSMUSP00000001042	ENSMUSP00000001042	ENSMUSG00000001016	Ilf2
10090.ENSMUSP00000001046	ENSMUSP00000001046	ENSMUSG00000001020	S100a4
10090.ENSMUSP00000001047	ENSMUSP00000001047	ENSMUSG00000001021	S100a3
10090.ENSMUSP00000001051	ENSMUSP00000001051	ENSMUSG00000001025	S100a6
10090.ENSMUSP00000001055	ENSMUSP00000001055	ENSMUSG00000001029	Icam2
10090.ENSMUSP00000001059	ENSMUSP00000001059	ENSMUSG00000020715	Ern1
10090.ENSMUSP00000001079	ENSMUSP00000001079	ENSMUSG00000001052	Sec24b
10090.ENSMUSP00000001080	ENSMUSP00000001080	ENSMUSG00000001053	N4bp3
10090.ENSMUSP00000001081	ENSMUSP00000001081	ENSMUSG00000001054	Rmnd5b
10090.ENSMUSP00000001092	ENSMUSP00000001092	ENSMUSG00000001065	Zfp276
10090.ENSMUSP00000001109	ENSMUSP00000001109	ENSMUSG00000001082	Mfsd10
10090.ENSMUSP00000001112	ENSMUSP00000001112	ENSMUSG00000052783	Grk4
